clip_id,file_name,start_time_s,end_time_s,duration_s,audio_layout,program_type,segment_type,lufs_integrated,true_peak_dbfs,silence_ratio,stereo_correlation,snr_estimated,label_loudness_high,label_loudness_low,label_clipping,label_noise_high,label_silence_anomalous,label_mono_issue,label_distortion,source_format,source_origin,pre_correction,qc_result,annotator,synthetic_case,synthetic_type,confidence,notes,y_bin
100ECDICEN_PGR276 B1_FULL MIX_15,100ECDICEN_PGR276 B1_FULL MIX.wav,70,75,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_16,100ECDICEN_PGR276 B1_FULL MIX.wav,75,80,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_17,100ECDICEN_PGR276 B1_FULL MIX.wav,80,85,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_18,100ECDICEN_PGR276 B1_FULL MIX.wav,85,90,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_19,100ECDICEN_PGR276 B1_FULL MIX.wav,90,95,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_20,100ECDICEN_PGR276 B1_FULL MIX.wav,95,100,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_21,100ECDICEN_PGR276 B1_FULL MIX.wav,100,105,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_22,100ECDICEN_PGR276 B1_FULL MIX.wav,105,110,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_23,100ECDICEN_PGR276 B1_FULL MIX.wav,110,115,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_24,100ECDICEN_PGR276 B1_FULL MIX.wav,115,120,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_25,100ECDICEN_PGR276 B1_FULL MIX.wav,120,125,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_26,100ECDICEN_PGR276 B1_FULL MIX.wav,125,130,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_27,100ECDICEN_PGR276 B1_FULL MIX.wav,130,135,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_28,100ECDICEN_PGR276 B1_FULL MIX.wav,135,140,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_29,100ECDICEN_PGR276 B1_FULL MIX.wav,140,145,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_30,100ECDICEN_PGR276 B1_FULL MIX.wav,145,150,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_31,100ECDICEN_PGR276 B1_FULL MIX.wav,150,155,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_32,100ECDICEN_PGR276 B1_FULL MIX.wav,155,160,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_33,100ECDICEN_PGR276 B1_FULL MIX.wav,160,165,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_34,100ECDICEN_PGR276 B1_FULL MIX.wav,165,170,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_35,100ECDICEN_PGR276 B1_FULL MIX.wav,170,175,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_36,100ECDICEN_PGR276 B1_FULL MIX.wav,175,180,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_37,100ECDICEN_PGR276 B1_FULL MIX.wav,180,185,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_38,100ECDICEN_PGR276 B1_FULL MIX.wav,185,190,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_39,100ECDICEN_PGR276 B1_FULL MIX.wav,190,195,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_40,100ECDICEN_PGR276 B1_FULL MIX.wav,195,200,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_41,100ECDICEN_PGR276 B1_FULL MIX.wav,200,205,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_42,100ECDICEN_PGR276 B1_FULL MIX.wav,205,210,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_43,100ECDICEN_PGR276 B1_FULL MIX.wav,210,215,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_44,100ECDICEN_PGR276 B1_FULL MIX.wav,215,220,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_45,100ECDICEN_PGR276 B1_FULL MIX.wav,220,225,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_46,100ECDICEN_PGR276 B1_FULL MIX.wav,225,230,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_47,100ECDICEN_PGR276 B1_FULL MIX.wav,230,235,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_48,100ECDICEN_PGR276 B1_FULL MIX.wav,235,240,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_49,100ECDICEN_PGR276 B1_FULL MIX.wav,240,245,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_50,100ECDICEN_PGR276 B1_FULL MIX.wav,245,250,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_51,100ECDICEN_PGR276 B1_FULL MIX.wav,250,255,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_52,100ECDICEN_PGR276 B1_FULL MIX.wav,255,260,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_53,100ECDICEN_PGR276 B1_FULL MIX.wav,260,265,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_54,100ECDICEN_PGR276 B1_FULL MIX.wav,265,270,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_55,100ECDICEN_PGR276 B1_FULL MIX.wav,270,275,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_56,100ECDICEN_PGR276 B1_FULL MIX.wav,275,280,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_57,100ECDICEN_PGR276 B1_FULL MIX.wav,280,285,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_58,100ECDICEN_PGR276 B1_FULL MIX.wav,285,290,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_59,100ECDICEN_PGR276 B1_FULL MIX.wav,290,295,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_60,100ECDICEN_PGR276 B1_FULL MIX.wav,295,300,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_61,100ECDICEN_PGR276 B1_FULL MIX.wav,300,305,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_62,100ECDICEN_PGR276 B1_FULL MIX.wav,305,310,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_63,100ECDICEN_PGR276 B1_FULL MIX.wav,310,315,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_64,100ECDICEN_PGR276 B1_FULL MIX.wav,315,320,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_65,100ECDICEN_PGR276 B1_FULL MIX.wav,320,325,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_66,100ECDICEN_PGR276 B1_FULL MIX.wav,325,330,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_67,100ECDICEN_PGR276 B1_FULL MIX.wav,330,335,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_68,100ECDICEN_PGR276 B1_FULL MIX.wav,335,340,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_69,100ECDICEN_PGR276 B1_FULL MIX.wav,340,345,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_70,100ECDICEN_PGR276 B1_FULL MIX.wav,345,350,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_71,100ECDICEN_PGR276 B1_FULL MIX.wav,350,355,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_72,100ECDICEN_PGR276 B1_FULL MIX.wav,355,360,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_73,100ECDICEN_PGR276 B1_FULL MIX.wav,360,365,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_74,100ECDICEN_PGR276 B1_FULL MIX.wav,365,370,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_75,100ECDICEN_PGR276 B1_FULL MIX.wav,370,375,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_76,100ECDICEN_PGR276 B1_FULL MIX.wav,375,380,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_77,100ECDICEN_PGR276 B1_FULL MIX.wav,380,385,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_78,100ECDICEN_PGR276 B1_FULL MIX.wav,385,390,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_79,100ECDICEN_PGR276 B1_FULL MIX.wav,390,395,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_80,100ECDICEN_PGR276 B1_FULL MIX.wav,395,400,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_81,100ECDICEN_PGR276 B1_FULL MIX.wav,400,405,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_82,100ECDICEN_PGR276 B1_FULL MIX.wav,405,410,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_83,100ECDICEN_PGR276 B1_FULL MIX.wav,410,415,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_84,100ECDICEN_PGR276 B1_FULL MIX.wav,415,420,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_85,100ECDICEN_PGR276 B1_FULL MIX.wav,420,425,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_86,100ECDICEN_PGR276 B1_FULL MIX.wav,425,430,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_87,100ECDICEN_PGR276 B1_FULL MIX.wav,430,435,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_88,100ECDICEN_PGR276 B1_FULL MIX.wav,435,440,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_89,100ECDICEN_PGR276 B1_FULL MIX.wav,440,445,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_90,100ECDICEN_PGR276 B1_FULL MIX.wav,445,450,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_91,100ECDICEN_PGR276 B1_FULL MIX.wav,450,455,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_92,100ECDICEN_PGR276 B1_FULL MIX.wav,455,460,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_93,100ECDICEN_PGR276 B1_FULL MIX.wav,460,465,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_94,100ECDICEN_PGR276 B1_FULL MIX.wav,465,470,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_95,100ECDICEN_PGR276 B1_FULL MIX.wav,470,475,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_96,100ECDICEN_PGR276 B1_FULL MIX.wav,475,480,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_97,100ECDICEN_PGR276 B1_FULL MIX.wav,480,485,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_98,100ECDICEN_PGR276 B1_FULL MIX.wav,485,490,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_99,100ECDICEN_PGR276 B1_FULL MIX.wav,490,495,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_100,100ECDICEN_PGR276 B1_FULL MIX.wav,495,500,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_101,100ECDICEN_PGR276 B1_FULL MIX.wav,500,505,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_102,100ECDICEN_PGR276 B1_FULL MIX.wav,505,510,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_103,100ECDICEN_PGR276 B1_FULL MIX.wav,510,515,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_104,100ECDICEN_PGR276 B1_FULL MIX.wav,515,520,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_105,100ECDICEN_PGR276 B1_FULL MIX.wav,520,525,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_106,100ECDICEN_PGR276 B1_FULL MIX.wav,525,530,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_107,100ECDICEN_PGR276 B1_FULL MIX.wav,530,535,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_108,100ECDICEN_PGR276 B1_FULL MIX.wav,535,540,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_109,100ECDICEN_PGR276 B1_FULL MIX.wav,540,545,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_110,100ECDICEN_PGR276 B1_FULL MIX.wav,545,550,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_111,100ECDICEN_PGR276 B1_FULL MIX.wav,550,555,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_112,100ECDICEN_PGR276 B1_FULL MIX.wav,555,560,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_113,100ECDICEN_PGR276 B1_FULL MIX.wav,560,565,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_114,100ECDICEN_PGR276 B1_FULL MIX.wav,565,570,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_115,100ECDICEN_PGR276 B1_FULL MIX.wav,570,575,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
